status,mysql_chunk_uid,mysql_chunk_index,milvus_doc_id,mysql_text,milvus_text
MISSING,1ad367419a3145c7bfa4064ee28c1849,18,,"Section: 图表5、6说明与数据\n\n图表5：我国调味品市场规模稳健扩容(人民币十亿元)| 複合年增長率 | | 複合年增長率 | || 2019年至2024年 | | 2024年至2029年（預計） | |基礎調味料 | 2.9% | | 5.1% | |覆合調味料 | 8.1% | | 12.1% | |總計 | 4.1% | | 7.0% | |408.1 \\quad 322.4 \\quad 85.7 \\quad 451.0 \\quad 351.3 \\quad 99.7 \\quad 460.4 \\quad 352.2 \\quad 361.6 \\quad 477.0 \\quad 479.3 \\quad 498.1 \\quad 523.1 \\quad 558.6 \\quad 603.9 429.4 \\quad 405.0 \\quad 138.1 \\quad 174.5 \\quad 385.0 \\quad 153.6 \\quad 126.5 \\quad 117.4 \\quad 115.4 \\quad 117.4 \\quad 126.5 \\quad 2025年（預計） \\quad 2026年（預計） \\quad 2027年（預計）资料来源：公司招股书，弗若斯特沙利文，华源证券研究所图表6：2024年我国调味品年人均消费明显低于美国和日本年人均调味品消费金额/元2,000 \\quad 1,800 \\quad 1,600 \\quad 1,400 \\quad 1,200 \\quad 1,000 \\quad 800 \\quad 600 \\quad 400 \\quad 200 \\quad 0中国 \\quad 日本 \\quad 美国资料来源：公司招股书，华源证券研究所源引金融活水 润泽中华大地",
MISSING,556016bfe30448a9a39498c12be898d3,19,,"Section: 酱油消费稳定与品类升级驱动\n\n{p{0.48\\textwidth} p{0.48\\textwidth}}图表7: 2024年我国基础调味品行业细分品类结构(收入计) | 图表8: 2024年我国调味品行业渠道结构占比(收入计, 单位为10亿元)| 複合年增長率 | 2019年至2024年| 企業客戶 | 2.9%| 個人客戶 | 6.3%| 總計 | 4.1%其他49.3% || 408.1| 451.0| 460.4| 477.0| 479.3| 498.1| 523.1| 269.8| 281.2| 290.1| 298.8| 300.0| 310.6| 324.8| 138.3| 169.8| 170.4| 178.2| 179.2| 187.6| 198.2| (預計)资料来源：公司招股书，弗若斯特沙利文，华源证券研究所 | 资料来源：公司招股书，弗若斯特沙利文，华源证券研究所2.1.1.国内酱油消费稳定，品类升级驱动扩张酱油是我国调味品市场规模最大的细分品类，品类创新、结构升级等驱动行业增长。根据弗若斯特沙利文，按收入计截至2024年我国酱油市场规模达1041亿元，但受限于品类高渗透率、行业结构升级放缓，2019-2024年CAGR仅2.6%；分量价看，欧睿国际显示2016-2021年我国酱油业销量、吨价CAGR分别为3.27%/3.86%，期间行业均价在品类升级与原料价格波动催生的提价周期双重作用下持续向上，且平均价格端增长中枢高于CPI增速。\n\n以邻为鉴，在健康需求崛起、龙头品类创新的引领以及历次消费税的提振下，日本酱油业呈现“低频高质、价增量减”等趋势，其中低盐、丸大豆、有机、鲜榨酱油等产品凭借高感知价值展现出阶段性品类β红利。相似地，我们认为国内C端酱油市场已进入价值提升驱动规模增长阶段，品类结构升级或成为行业增长主要驱动力，如有机、减盐、零添加等健康型产品，还有满足客户便捷化、复合化需求的产品；另外，我国三线及以下城市通过零售渠道的年人均调味品消费支出不到一线城市的一半，未来下沉市场有望具备较大的升级空间。",
MISSING,cf74827dd3874e38a3f219a0ab2cb082,20,,"Section: 图表9、10说明与数据\n\n{p{0.48\\textwidth} p{0.48\\textwidth}}图表9: 我国酱油市场稳健扩容 | 图表10: 2012-2020年中国酱油零售均价增速高于CPI增速(%)酱油市场/亿元 | yoy (% /右轴)1,100 | 10%1,050 | 8%1,000 | 6%\n\n资料来源：公司招股书，弗若斯特沙利文，华源证券研究所 |",
MISSING,c7bee6e0aad74c4aad10173f34c80b03,21,,Section: 酱油消费结构升级趋势\n\n资料来源：wind、《中国酱油行业发展趋势报告》，华源证券研究所图表11: 我国酱油消费结构变化趋势，其中2020年呈哑铃形态，未来消费结构有望持续升级目前我国酱油消费结构接近“哑铃”型，未来C端市场有望展现出两种升级路径{p{0.45\\textwidth} p{0.45\\textwidth}}{p{0.45\\textwidth}}特级\n\n酱油占比小三级酱油占据家庭主流消费|{p{0.45\\textwidth}}短期C端酱油消费结构特级酱油占比持续提升\n\n持续提升下沉市场三级酱油占比下降{p{0.45\\textwidth}}长期C端消费结构特级酱油成为市场主流：高线城市：高品阶$\\rightarrow$更健康、更高品质下沉市场：品阶升级,
MISSING,65a598760fe54e57837c1b81e1a463d4,22,,"Section: 蚝油、调味酱、食醋、料酒行业扩容\n\n占比扩大三级酱油资料来源：中国调味品协会，《中国酱油行业发展趋势报告》，华源证券研究所自制注：本图涉及对酱油消费结构未来趋势的预测，仅供参考2.1.2.蚝油、基础调味酱、食醋、料酒行业稳健扩容除酱油外，基础调味酱、食醋、料酒以及蚝油亦为我国基础调味品重要细分品类；根据弗若斯特沙利文,按收入计算截至2024年上述细分品类市场规模分别达362/221/147/115亿元,2019-2024年CAGR分别为5.1%/0.1%/4.4%/5.8%。",
MISSING,c84de3052aa348478d574e589f45f14a,23,,"Section: 基础调味酱、蚝油、食醋、料酒细分分析\n\n基础调味酱: 指以一种材料为主原料、搭配其他辅料加工制成的调味品,主要包括豆酱、面酱等;行业发展相对成熟,区域化特征明显。但调味酱行业仍存在发展较为成熟、规模较大的细分种类,如辣酱、黄豆酱以及西式沙拉酱等。近年来,由于需求场景多元以及消费渠道碎片化,调味酱品类 SKU 越发细分化,如海底捞的燕麦青椒酱、仲景的上海葱油系列等新兴品类开始崛起。\n\n蚝油: 该品类兴起于我国广东省,且伴随全国人口流动、餐饮菜系融合发展而被全国各地消费者接受,并逐步走向海外。近年来,饮食习惯加速渗透驱动国内蚝油市场规模稳健扩张,尤其相对其他基础调味品实现了较快的增速,未来在基础调味品中的市场占比有望持续提升。另外,根据弗若斯特沙利文数据,截至 2024 年,全球蚝油市场规模达 191 亿元,2019-2024 年 CAGR 为 6.1%,反映海外市场景气度更高。\n\n食醋: 行业已进入发展成熟期,需求相对平稳,但地域化特征明显。相较海外同业,我国食醋产品在功能性开发和产品多样化方面仍具备较大提升空间,如食醋消费近年开始从调味醋向饮料醋、功能醋、保健醋等方向延伸,故预计我国食醋市场未来将以微增态势平稳扩容。另一方面,我国食醋业面临格局分散,区域特征显著等问题,例如我国四大名醋包括山西老陈醋、镇江香醋、保宁醋、永春老醋,分别辐射华北、华东、西南以及华南区域。\n\n料酒: 相较食醋等基础调味品,料酒功能更多样,具体包括去腥、增鲜、调味等;其次,料酒具备适用菜品广泛(几乎涵盖所有鱼、肉、禽类等荤菜烹饪),区域差异化小等特征,更容易市场参与者集中资源发展;近年主要伴随去腥调味需求增长而扩容。",
MISSING,53e1809138b84440a1f7ae214deb06b8,24,,"Section: 行业市场规模图表及来源说明\n\n图表 12: 2019-2024 年中国基础调味酱市场规模变化(收入计)\\includegraphics[width=\\textwidth]{chart_12.png}资料来源: 公司招股书,弗若斯特沙利文,华源证券研究所图表 13: 2019-2024 年中国蚝油市场规模变化 (收入计)\\includegraphics[width=\\textwidth]{chart_13.png}资料来源: 公司招股书,弗若斯特沙利文,华源证券研究所2.2. 行业加速整合, 龙头市场份额持续提升调味品行业集中度提升空间大, 海天通过多品类、平台化发展实现份额持续提升, 同时细分品类的龙头公司正加速并购整合。",
MISSING,02631bb11b3f47cd86e4b3e17244c191,25,,"Section: 海天全球与国内市占率分析\n\n源引金融活水 润泽中华大地根据弗若斯特沙利文,以2024年调味品收入计,海天在全球调味品行业排第五,市场份额约1.1%。从公司主业酱油品类看,公司在全球酱油市场中排第一,2024年市占率达6.2%,而紧随其后的龟甲万酱油株式会社,酱油业务覆盖全球,同年市占率约4.5%,均大幅领先行业第三名。而在全球蚝油行业,由于中国市场占60%,公司在国内市占率达40%+,遥遥领先,在全球蚝油市场份额也达到24.1%。另外,聚焦国内调味品市场,由于我国幅员辽阔、地域口味差异大、菜系繁杂,消费者对调味品偏好各不相同,因此,调味品行业整体呈现品类多元,市场相对分散的特征;其中,海天已连续28年在国内调味品市场保持销量第一的领导地位,以2024年收入计,公司市占率达4.8%,显著领先于其他竞争对手。\n\n聚焦细分品类:根据弗若斯特沙利文,1)收入口径下2024年国内酱油行业CR3/CR5分别约19.7%/25.1%,其中公司市占率达13.2%,显著领先于行业内其他竞争对手;但对比日本等成熟市场(行业CR5达44.1%),国内酱油行业集中度仍有较大提升空间;2)国内蚝油市场呈寡头垄断特征,收入口径下2024年行业CR2达51.1%,其中公司作为行业龙头市占率达40.2%,遥遥领先;3)国内基础调味酱市场高度分散,其中以收入口径计2024年基础调味酱CR3约10.3%,公司市场排名第一,市场份额约4.6%,行业内差距不大。4)其他基础调味品方面,以2024年收入口径计,公司在国内料酒、食醋市场排名第一/第二;5)复合调味品领域,公司仍在持续布局中。",
MISSING,4bd6d9f82d344e93b02aebdaba72f1a9,26,,"Section: 全球及国内调味品市场地位与集中度分析\n\n{p{0.45\\textwidth} p{0.45\\textwidth}}图表14: 国内调味品行业整体分散，2024年国内调味品行业头部企业市占率/%（按收入计） | 图表15: 我国酱油行业集中度明显低于海外同业（按收入计）{p{0.25\\textwidth}}海天, 4.8%公司G, 2.2%公司F, 1.4%其他, 91.6%|{p{0.45\\textwidth}}\n\n中国日本美国资料来源：公司招股书，弗若斯特沙利文等，华源证券研究所 | 资料来源：公司招股书，华源证券研究所公司在调味品行业综合竞争力强: B端渠道壁垒高、经销商粘性强, C端品牌影响力广,显著领先的规模优势以及横跨多品类的市场领先地位。极致供应链管理下,公司具备行业领先的成本、效率与质量优势。",
MISSING,b55575e6410b4315b4656b3ab341dad2,27,,"Section: B端渠道壁垒与产品矩阵优势\n\n首先,对比国内其他调味品企业,海天渠道覆盖面广、全国化布局完善以及具备“易守难攻”的B端渠道壁垒。具体而言,公司全国化市场布局充分,截至2025年底,并通过6702家经销商覆盖300多万个网点;我们认为,B端方面,餐饮客户对调味品的选择主要受厨师\n\n源引金融活水 润泽中华大地{p{0.45\\textwidth} p{0.45\\textwidth}}和采购人员的影响；其中，厨师注重餐食口味和出餐品质的稳定一致，而且厨师烹饪方式的重复性和延续性、以及消费者的味觉记忆使其对某一种固定调味品的使用需求十分稳定，容易形成消费习惯；而采购人员注重成本节约，在与品牌方达成长期合作之后通常会以优惠的价格购入该产品并持续相当长时间，再加上经销商的客情影响，渠道的稳定性相当高（截至2024年，与公司合作超五年的经销商数量超3000家，收入贡献超65%）。 |作为国内调味品龙头,公司产品矩阵完善度较高(截至2024年,公司拥有1450余个sku),产品体系的优势体现在横跨多品类的市场领先地位,具体包括7个超10亿元年销售收入的大单品,31个年收入超亿元的大单品。另外,公司拥有行业领先的规模优势,全国四大生产基地合计年产能超500万吨,其中高明工厂被评为全球首家酱油“灯塔工厂”。 |3.品类、渠道、区域齐发力，高盈利、高分红有望延续3.1.国内多元增长提份额，布局海外打开空间针对国内市场，公司积极拥抱健康化、便捷化、场景化、定制化等趋势，同时加快拓展复调赛道，未来有望稳步提升市场份额。",
MISSING,cbab2c111d554d9a9671f9dd49b565d4,28,,Section: 国内终端覆盖与新品孵化逻辑\n\n1) 公司在国内终端网点覆盖量达300万个，已覆盖全国80%+的家庭，未来有望下沉挖潜市场，同时通过补充趋势类新品提升单网点卖力，并有望将被验证的新产品培育为新的增长极，从而形成“夯实基本盘$\\rightarrow$孵化新增长$\\rightarrow$壮大新支柱”的良性循环。具体而言，公司将酱油等主品类的成功经验逐步复制到其他细分品类或新产品中，如凉拌汁等酱油制品、复合调味品。,
MISSING,f1ff7509b75e4a09a354ff27022dd13a,29,,Section: 国内C端与B端增长策略\n\n2) 把握B端渠道变化机会，包括餐饮连锁化、食品加工定制化以及客户需求精细化/专业化需求，具体而言，公司积极开发专业渠道的经销商，如团餐类客户等，同时研发端从以基础研发为主转换至重视终端应用场景研发，生产端通过智能化生产线配置实现柔性生产，公司最高可在一条生产线生产超20种规格或130个sku的不同产品，最快7天就能完成定制化交付。\n\n3) 家庭端，公司持续拥抱健康化、便捷化等消费趋势，例如，公司推出的营养健康类产品（如薄盐、有机等）2024/2025年收入增速分别达33.6%/48.3%，围绕消费者便捷化需求自研的“挤挤瓶”蚝油，截至2024年底累计销售4.6亿瓶。此外，公司持续通过贯通“公司-经销商-终端-消费者”的全链路码体系等来赋能渠道运营。,
MISSING,43c3d81a15834a118f80fbf0803cab84,30,,"Section: 营收增长逻辑图及图示说明\n\n\\node[draw, rectangle, minimum width=5cm, minimum height=4cm] (chart) {国内BC端齐发力 | 加速布局→提份额 | 国际市场};\n\n\\node[draw, rectangle, minimum width=5cm, minimum height=4cm, right=of=chart] (chart2) {健康化、便捷化、场景化、 | 欧洲/东南亚区域定制化等趋势 |};\n\n\\node[draw, rectangle, minimum width=5cm, minimum height=4cm, right=of=chart2] (chart3) {基础调味品 | 产品本土化挖掘 | 海外供应链下沉市场 | 中餐出海机遇};\n\n\\draw[->] (chart) -- (chart2);\n\n\\draw[->] (chart2) -- (chart3);\n\n\\draw (chart) -- ++(0,1cm) |- (chart3);\n\n\\draw (chart2) -- ++(0,1cm) |- (chart3);\n\n\\draw (chart3) -- ++(0,1cm) |- (chart2);\n\n\\node[above=0.5cm of chart] {营收增长抓手};\n\n\\node[above=0.5cm of chart2] {渠道优势};\n\n\\node[above=0.5cm of chart3] {品牌优势};\n\n\\node[above=0.5cm of chart2] {积极拓展复合调味品};",
MISSING,04493d617cdb4952a827ddf5bb1c2c46,31,,Section: 海外拓展经验借鉴与海天国际化战略\n\n资料来源：华源证券研究所自制以邻为鉴，日本调味品龙头龟甲万于 1970 年代日本酱油市场需求见顶期，积极出海、布局国际市场；具体而言：1) 1973 年，龟甲万在美国威斯康辛州成立第一家海外酱油生产基地，十年后以 40%市占率成为美国酱油龙头品牌，1998 年在美国成立第二家酱油工厂；2) 1970 年代，龟甲万在德国设立了 6 家日本铁板烧连锁牛排屋，潜移默化地影响欧洲消费者对日本调味品的接受度与消费者习惯，其中以德国杜塞尔道夫为据点的销售子公司则是龟甲万在欧洲的行销主力，1997 年在荷兰成立欧洲第一家酱油工厂；3) 1984 年、1990 年龟甲万分别在新加坡和中国台湾设立酱油工厂，2020 年在南美圣保罗设立制造、销售公司，正式进入巴西市场。截至 2023 财年，龟甲万海外营收占 76%，且利润率高于本土，其中北美营收占总营收比重 54.7%，其次为亚洲与大洋洲（11.4%）、欧洲（8.5%），日本本土营收占比约 25%。\n\n海天自港股上市以来加快海外市场布局，有望打开未来成长空间。公司计划在东南亚以及欧洲等地区拓展海外市场，其中根据弗若斯特沙利文，欧洲是全球调味品第二大区域市场，2024 年市场规模达 5194 亿元，而东南亚预计将在未来全球主要市场中增速最快，2024-2029 市场规模 CAGR 达 9.1%。具体而言，公司计划将优势产品与当地饮食偏好相结合，例如以酱油为基底来制作照烧汁、烧烤汁、白灼汁等复调品类；另外，公司 2025 年实现港股上市，进一步加速国际化战略（如设立印尼、荷兰、美国等子公司）同时扩大了品牌海外影响力，同年落地海外生产基地，积极跟随中餐出海。而伴随海外渠道、供应链体系搭建逐步成熟，国际市场收入或将逐步起量，并有望带动营收稳健增长。,
